date,description,link,category
9/10/2021,"Our paper, ""BotRGCN: Twitter Bot Detection with Relational Graph Convolutional Networks"", has been accepted at ASONAM 2021.",,LIT
9/08/2021,"Our paper, ""Heterogeneity-aware Twitter Bot Detection with Relational Graph Transformers"", goes live on Arxiv. Check out our work at",https://arxiv.org/abs/2109.02927,LIT
8/10/2021,"Our paper, ""SATAR: A Self-supervised Approach to Twitter Account Representation Learning and its Application in Bot Detection"", has been accepted at CIKM 2021.",,LIT
8/10/2021,"Our paper, ""TwiBot-20: A Comprehensive Twitter Bot Detection Benchmark"", has been accepted at CIKM 2021. ",,LIT
8/09/2021,"Our paper, ""Knowledge Graph Augmented Political Perspective Detection in News Media"", goes live on Arxiv. Check out our work at",https://arxiv.org/abs/2108.03861,LIT
8/09/2021,"Our paper, ""Encoding Heterogeneous Social and Political Context for Entity Stance Prediction"", goes live on Arxiv. Check our work at",https://arxiv.org/abs/2108.03881,LIT
7/28/2021,"Finished project presentation @ NUS summer workshop and received the best project runner up award! Thanks for the hard work of teammates Herun Wan, Zhaoxuan Tan and Qingyue Zhang as well as the instruction of Prof. Lek Hsiang Hui.",,LIT
6/24/2021,"Our paper, ""BotRGCN: Twitter Bot Detection with Relational Graph Convolutional Networks"", goes live on Arxiv. Check our work at",https://arxiv.org/abs/2106.13092,LIT
6/24/2021,"Our paper, ""TwiBot-20: A Comprehensive Twitter Bot Detection Benchmark"", goes live on Arxiv. Check our work at",https://arxiv.org/abs/2106.13088,LIT
6/24/2021,"Our paper, ""SATAR: A Self-supervised Approach to Twitter Account Representation Learning and its Application in Bot Detection"", goes live on Arxiv. Check our work at",https://arxiv.org/abs/2106.13089,LIT
5/01/2021,"Received the Outstanding Award for our Twitter bot detection project at National Undergraduate Research Program. Thanks for the hard work of teammates Herun Wan, Ningnan Wang as well as the instruction of Prof. Minnan Luo.",,LIT
